"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6X3P48JD","journalArticle","2018","Farinacci Fernos, Jorge M.","Curious In-Laws: The Legal Connections between Montana and Puerto Rico","Montana Law Review","","","","https://heinonline.org/HOL/P?h=hein.journals/montlr79&i=187","","2018","2020-12-21 15:17:03","2020-12-21 15:17:03","2020-12-21 15:17:03","187-204","","2","79","","Mont. L. Rev.","Curious In-Laws","","","","","","","eng","","","","","HeinOnline","","","","/home/fink/Juris-M/storage/FNGBH9GQ/Farinacci Fernos_2018_Curious In-Laws.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E8SG7NW","journalArticle","2005","Corbett, William L.","Resolving Employee Discharge Disputes under the Montana Wrongful Discharge Act (MWDA), Discharge Claims Arising Apart from the MWDA, and Practice and Procedure Issues in the Context of a Discharge Case","Montana Law Review","","","","https://heinonline.org/HOL/P?h=hein.journals/montlr66&i=335","","2005","2020-12-21 15:14:16","2020-12-21 15:14:16","2020-12-21 15:14:16","329-404","","2","66","","Mont. L. Rev.","","","","","","","","eng","","","","","HeinOnline","","","","/home/fink/Juris-M/storage/JFZT6EX6/Corbett_2005_Resolving Employee Discharge Disputes under the Montana Wrongful Discharge Act.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HB3NNYEX","journalArticle","2009","Roseman, Barry D.","Just Cause in Montana: Did the Big Sky Fall","Advance: The Journal of the ACS Issue Briefs","","","","https://heinonline.org/HOL/P?h=hein.journals/advnce3&i=177","","2009","2020-12-21 15:07:51","2020-12-21 15:07:51","2020-12-21 15:07:51","173-190","","1","3","","Advance","Just Cause in Montana","","","","","","","eng","","","","","HeinOnline","","","","/home/fink/Juris-M/storage/8MJFDQVY/Roseman_2009_Just Cause in Montana.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UYC64KU2","journalArticle","1993","Andreason, Aaron W.; Morton, Jack K.","Avoiding wrongful discharge law suits in Montana","Montana Business Quarterly; Missoula","","00269921","","https://search.proquest.com/docview/234229588/abstract/4D94251140C9417BPQ/1","Across the US each year, thousands of employees sue their employers for wrongful discharge, and the stakes can be quit high. In Flanigan vs. Prudential Savings Court, the Montana Supreme Court upheld a jury award of almost $1.5 million to a bank teller discharged without good cause following 28 years of good service. The relevant aspects of current law are outlined and a practical guide for Montana business owners and managers hoping to avoid such costly wrongful discharge lawsuits is presented. The Wrongful Discharge From Employment Act (WDFEA) became effective July 1, 1987. The WDFEA restored much of the previous latitude employers had in the termination process, while also reflecting recent judicial concern for grossly unfair treatment of employees. Important features of the WDFEA include: 1. It eliminates punitive damages except where actual fraud and malice can be proved. 2. It establishes a one-year statute of limitations for filing a wrongful discharge action.","1993","2020-12-21 14:54:37","2020-12-21 14:54:37","2020-12-21 14:54:37","22","","2","31","","","","","","","","Bureau of Business and Economic Research","Missoula, United States, Missoula","English","Copyright Bureau of Business and Economic Research Summer 1993","","","","ProQuest","","Num Pages: 3","","/home/fink/Juris-M/storage/IF8S9EPY/Andreason_Morton_1993_Avoiding wrongful discharge law suits in Montana.pdf","","","Employees; Employers; Employment at will; Wrongful discharge; Business And Economics; Employment; Collective bargaining; Court decisions; Guidelines; State courts; State laws","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FZ9FYMZ7","journalArticle","1995","Regan, M. Scott","Tonack v. Montana Bank: Preemption, Interpretation, and Older Employees under Montana's Wrongful Discharge from Employment Act Note","Montana Law Review","","","","https://heinonline.org/HOL/P?h=hein.journals/montlr56&i=591","","1995","2020-12-21 14:51:06","2020-12-21 14:51:06","2020-12-21 14:51:06","585-602","","","56","","Mont. L. Rev.","Tonack v. Montana Bank","","","","","","","eng","","","","","HeinOnline","","","","/home/fink/Juris-M/storage/796527FW/Regan_1995_Tonack v.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTNA2HH3","journalArticle","1996","Bennett, Michael","Montana's Employment Protection: A Comparative Critique of Montana's Wrongful Discharge from Employment Act in Light of the United Kingdom's Unfair Dismissal Law","Montana Law Review","","","","https://heinonline.org/HOL/P?h=hein.journals/montlr57&i=121","","1996","2020-12-21 14:50:16","2020-12-21 14:50:16","2020-12-21 14:50:16","115-142","","1","57","","Mont. L. Rev.","Montana's Employment Protection","","","","","","","eng","","","","","HeinOnline","","","","/home/fink/Juris-M/storage/F9RHPDAW/Bennett_1996_Montana's Employment Protection.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZAYUMTBW","journalArticle","1999","Jarsulic, Marc","Protecting Workers from Wrongful Discharge: Montana's Experience with Tort and Statutory Regimes","Employee Rights and Employment Policy Journal","","","","https://heinonline.org/HOL/P?h=hein.journals/emplrght3&i=111","","1999","2020-12-21 14:48:50","2020-12-21 14:48:50","2020-12-21 14:48:50","105-130","","1","3","","Emp. Rts. & Emp. Pol'y J.","Protecting Workers from Wrongful Discharge","","","","","","","eng","","","","","HeinOnline","","","","/home/fink/Juris-M/storage/TEJP8DWT/Jarsulic_1999_Protecting Workers from Wrongful Discharge.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7CZ23XEG","journalArticle","1990","Nys, Jim","The Montana Wrongful Discharge from Employment Act: A supervisor's handbook.","Graduate Student Theses, Dissertations, & Professional Papers","","","","https://scholarworks.umt.edu/etd/8609","","1990-01-01","2020-12-21 14:39:45","2020-12-21 14:39:45","","","","","","","","The Montana Wrongful Discharge from Employment Act","","","","","","","","","","","","","","","","/home/fink/Juris-M/storage/F7BYNUQU/Nys - 1990 - The Montana Wrongful Discharge from Employment Act.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9HHUUMTM","journalArticle","1996","Robinson, Donald C.","The First Decade of Judicial Interpretation of the Montana Wrongful Discharge from Employment Act (WDEA)","Montana Law Review","","","","https://heinonline.org/HOL/P?h=hein.journals/montlr57&i=381","","1996","2020-12-21 14:33:43","2021-01-10 19:04:51","2020-12-21 14:33:43","375-422","","2","57","","Mont. L. Rev.","","","","","","","","eng","","","","","HeinOnline","","","","/home/fink/Juris-M/storage/UVR7HYW4/Robinson - The First Decade of Judicial Interpretation of the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JN6R669","journalArticle","1993","Bierman, Leonard; Vinton, Karen; Youngblood, Stuart A.","Montana's Wrongful Discharge from Employment Act: The Views of the Montana Bar","Montana Law Review","","","","https://heinonline.org/HOL/P?h=hein.journals/montlr54&i=373","","1993","2020-12-21 14:33:35","2021-01-10 19:05:30","2020-12-21 14:33:35","367","","2","54","","Mont. L. Rev.","Montana's Wrongful Discharge from Employment Act","","","","","","","eng","","","","","HeinOnline","","","","/home/fink/Juris-M/storage/L4H6FY33/Bierman et al. - 1993 - Montana's Wrongful Discharge from Employment Act .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
